,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-FCS,1923,1999701.0,67604.0,226.0,685469.0,828292.0,828292,19.0,19.0,10212.0,194031.0,1.0,1211095.0,817868.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-FBS,3397,1652756.0,252910.0,98.0,3081362.0,3029359.0,3051670,13.0,13.0,59612.0,774951.0,1.0,4189826.0,4189826.0
2,University of Alabama in Huntsville,Huntsville,NCAA Division II without football,2644,1548834.0,62401.0,242.0,2985553.0,2985553.0,2985553,19.0,19.0,5373.0,102089.0,1.0,612569.0,612569.0
3,Alabama State University,Montgomery,NCAA Division I-FCS,1679,2215692.0,99186.0,242.0,1594049.0,1579049.0,1579049,17.0,17.0,9532.0,162040.0,1.0,977453.0,859867.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-FBS,12929,7309795.0,1624172.0,371.0,2029058.0,8738482.0,8738482,15.0,15.0,98669.0,1480031.0,1.0,14446339.0,8577428.0
5,Central Alabama Community College,Alexander City,NJCAA Division I ,436,180829.0,35656.0,41.0,515808.0,389611.0,389611,,,,,,,
6,Auburn University at Montgomery,Montgomery,NCAA Division II without football,1080,1109871.0,45401.0,89.0,1239323.0,1239323.0,1239323,14.0,14.0,2405.0,33670.0,1.0,427164.0,427164.0
7,Auburn University,Auburn University,NCAA Division I-FBS,9792,8292438.0,1331837.0,298.0,1009477.0,8724809.0,8724809,16.0,16.0,80349.0,1285584.0,1.0,11662504.0,8821985.0
8,Birmingham Southern College,Birmingham,NCAA Division III with football,673,0.0,43033.0,372.0,1072840.0,1072840.0,1072840,23.0,23.0,3403.0,78269.0,1.0,197692.0,197692.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I ,423,301320.0,29209.0,45.0,485861.0,481265.0,481265,15.0,15.0,2692.0,40381.0,,274822.0,274822.0
10,Concordia College Alabama,Selma,USCAA,201,385000.0,31800.0,156.0,349136.0,349136.0,349136,18.0,18.0,3000.0,54000.0,1.0,153582.0,153582.0
11,Enterprise State Community College,Enterprise,NJCAA Division I ,481,171048.0,17436.0,41.0,156457.0,156457.0,156457,13.0,13.0,1579.0,20533.0,,118667.0,118667.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I ,1027,447944.0,0.0,79.0,441981.0,441981.0,441981,25.0,25.0,2631.0,65775.0,,221921.0,221921.0
13,Faulkner University,Montgomery,NAIA Division I ,744,2486551.0,53483.0,270.0,1670756.0,1670756.0,1670756,15.0,15.0,7227.0,108405.0,,622869.0,622869.0
14,Gadsden State Community College,Gadsden,NJCAA Division I ,1133,75198.0,15092.0,23.0,48138.0,48138.0,48138,15.0,15.0,1378.0,20671.0,,109029.0,109029.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I ,840,217651.0,57238.0,24.0,373525.0,367114.0,367114,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I ,1075,355746.0,8856.0,59.0,304525.0,304525.0,304525,14.0,14.0,1118.0,15649.0,,203674.0,203674.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I ,380,82400.0,10000.0,49.0,118400.0,118400.0,118400,17.0,17.0,2729.0,46400.0,,93604.0,93604.0
18,Huntingdon College,Montgomery,NCAA Division III with football,485,0.0,62045.0,326.0,1052542.0,1052542.0,1052542,29.0,29.0,2136.0,61937.0,1.0,230750.0,230750.0
