,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-AA,1883,2096656.0,54686.0,193.0,970764.0,943683.0,943683,16.0,16.0,9416.0,150658.0,1.0,875442.0,800610.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-A,3541,2680235.0,298110.0,239.0,3053024.0,3053024.0,3053024,15.0,15.0,40919.0,613786.0,1.0,3952661.0,3952661.0
2,University of Alabama in Huntsville,Huntsville,NCAA Division II (without football),2384,1400459.0,63298.0,196.0,2661895.0,2661895.0,2661895,18.0,18.0,5071.0,91284.0,1.0,550408.0,550408.0
3,Alabama State University,Montgomery,NCAA Division I-AA,1679,1929108.0,81847.0,225.0,1483346.0,1483346.0,1483346,18.0,18.0,14983.0,269701.0,1.0,933140.0,933140.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-A,12590,6524571.0,1502708.0,354.0,1199258.0,7783334.0,7783334,17.0,17.0,78110.0,1327871.0,1.0,12780576.0,7164296.0
5,Central Alabama Community College,Alexander City,NJCAA Division I,427,149138.0,32603.0,40.0,349078.0,336043.0,336043,,,,,,,
6,Auburn University at Montgomery,Montgomery,NAIA Division I,1127,647329.0,34881.0,92.0,802636.0,802636.0,802636,15.0,15.0,1901.0,28516.0,1.0,338302.0,338302.0
7,Auburn University,Auburn University,NCAA Division I-A,9357,8054359.0,1174847.0,289.0,1147452.0,8272993.0,8272993,18.0,18.0,79526.0,1431468.0,1.0,11185840.0,8818072.0
8,Birmingham Southern College,Birmingham,NCAA Division III (with football),635,0.0,43002.0,381.0,984019.0,984019.0,984019,22.0,22.0,4016.0,88350.0,1.0,197164.0,197164.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I,399,245497.0,30106.0,44.0,424259.0,417639.0,417639,13.0,13.0,3105.0,40360.0,,157749.0,157552.0
10,Concordia College Alabama,Selma,Other,173,410566.0,27260.0,132.0,373378.0,373378.0,373378,13.0,13.0,5272.0,68531.0,1.0,148388.0,148388.0
11,Enterprise State Community College,Enterprise,NJCAA Division II,614,161362.0,20851.0,44.0,162344.0,162344.0,162344,17.0,17.0,1436.0,24410.0,,140051.0,140051.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I,961,441800.0,0.0,77.0,401454.0,400606.0,400606,23.0,23.0,2435.0,56016.0,,271162.0,258110.0
13,Faulkner University,Montgomery,NAIA Division I,792,2583089.0,60923.0,354.0,1617378.0,1617378.0,1617378,16.0,16.0,4223.0,67575.0,,591626.0,591626.0
14,Gadsden State Community College,Gadsden,NJCAA Division I,1272,94038.0,15092.0,25.0,55182.0,55182.0,55182,15.0,15.0,1709.0,25636.0,,120261.0,120261.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I,878,172759.0,57238.0,24.0,334130.0,324665.0,324665,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I,1224,382854.0,10573.0,84.0,339742.0,339742.0,339742,32.0,32.0,515.0,16486.0,,197952.0,197952.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I,374,82403.0,10000.0,50.0,118506.0,118506.0,118506,18.0,18.0,2639.0,47506.0,,93613.0,93613.0
18,Huntingdon College,Montgomery,NCAA Division III (with football),501,0.0,53228.0,316.0,981269.0,988587.0,988587,28.0,28.0,1951.0,54621.0,1.0,214705.0,218771.0
19,Jacksonville State University,Jacksonville,NCAA Division I-AA,2483,2203960.0,89358.0,209.0,1226750.0,1226750.0,1364588,18.0,18.0,13183.0,237288.0,1.0,1036956.0,1036956.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I,295,279293.0,21392.0,41.0,225055.0,225055.0,225055,14.0,14.0,868.0,12154.0,,152419.0,152419.0
21,John C Calhoun State Community College,Tanner,NJCAA Division I,1827,175625.0,25000.0,30.0,283574.0,283574.0,283574,,,,,,,
22,Judson College,Marion,NCCAA Division I,2,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
23,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I,713,293445.0,29500.0,42.0,299620.0,299620.0,299620,17.0,17.0,1892.0,32172.0,,221029.0,221029.0
24,University of West Alabama,Livingston,NCAA Division II (with football),773,1390982.0,55377.0,310.0,1271167.0,1271167.0,1453268,16.0,16.0,13433.0,214924.0,1.0,612953.0,612953.0
25,Lurleen B Wallace Community College,Andalusia,NJCAA Division I,409,184230.0,24195.0,46.0,161594.0,161594.0,161594,16.0,16.0,987.0,15790.0,,143651.0,143651.0
26,Marion Military Institute,Marion,NJCAA Division I,352,452758.0,40584.0,61.0,502526.0,492216.0,492216,12.0,12.0,1745.0,20938.0,1.0,249787.0,248492.0
27,Miles College,Fairfield,NCAA Division III (with football),879,880510.0,55037.0,165.0,275415.0,338147.0,338147,15.0,15.0,8814.0,132207.0,1.0,479947.0,447215.0
28,University of Mobile,Mobile,NAIA Division I,473,1414583.0,30320.0,131.0,1693207.0,1693207.0,1693207,15.0,15.0,5141.0,77119.0,,480329.0,480329.0
29,University of Montevallo,Montevallo,NCAA Division II (without football),775,880474.0,51256.0,133.0,1190568.0,1190568.0,1190568,13.0,13.0,8850.0,115052.0,1.0,611796.0,611796.0
30,University of North Alabama,Florence,NCAA Division II (with football),1959,1348276.0,60094.0,198.0,829199.0,829199.0,829199,15.0,15.0,7167.0,107505.0,1.0,533568.0,533568.0
31,Oakwood University,Huntsville,Other,742,0.0,1833.0,46.0,7250.0,6750.0,6750,15.0,15.0,1430.0,21451.0,,29950.0,25450.0
32,Alabama Southern Community College,Monroeville,NJCAA Division II,359,279971.0,33588.0,44.0,317677.0,317677.0,317677,17.0,17.0,3713.0,63115.0,0.0,203442.0,203442.0
33,Bishop State Community College,Mobile,NJCAA Division I,803,172779.0,55110.0,42.0,257737.0,257737.0,257737,17.0,17.0,3932.0,66850.0,1.0,226413.0,226413.0
34,Samford University,Birmingham,NCAA Division I-AA,1025,4577437.0,94086.0,250.0,2398296.0,2398296.0,2398296,15.0,15.0,24227.0,363410.0,1.0,1901335.0,1901335.0
