,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-AA,2194,1710471.0,51414.0,171.0,890501.0,3608625.0,3608625,16.0,16.0,7296.0,116729.0,1.0,732937.0,618738.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-A,3473,3561933.0,235794.0,199.0,2361148.0,11719554.0,11719554,13.0,13.0,37900.0,492703.0,1.0,2732944.0,2732944.0
2,University of Alabama at Huntsville,Huntsville,NCAA Division II (without football),2367,1123319.0,43373.0,152.0,1619756.0,2106378.0,2106378,14.0,14.0,6090.0,85257.0,1.0,486622.0,486622.0
3,Alabama State University,Montgomery,NCAA Division I-AA,1864,2070473.0,63469.0,166.0,1003612.0,4400223.0,4400223,17.0,17.0,9379.0,159450.0,1.0,839454.0,839454.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-A,10747,5189123.0,1054830.0,319.0,665254.0,43928294.0,43928294,17.0,17.0,61967.0,1053440.0,1.0,11016184.0,6819080.0
5,Central Alabama Community College,Alexander City,NJCAA Division I,597,128486.0,27579.0,41.0,307723.0,293474.0,293474,,,,,,,
6,Auburn University at Montgomery,Montgomery,NAIA Division I,1215,492805.0,57613.0,100.0,763437.0,1113981.0,1113981,18.0,18.0,2002.0,36039.0,1.0,375299.0,358322.0
7,Auburn University,Auburn University,NCAA Division I-A,9489,5692699.0,1118303.0,309.0,618822.0,54569052.0,54569052,17.0,17.0,53150.0,903546.0,1.0,9507157.0,7617011.0
8,Birmingham Southern College,Birmingham,NCAA Division III (with football),763,0.0,38911.0,310.0,836232.0,1586283.0,1586283,15.0,15.0,5806.0,87094.0,1.0,257725.0,257724.0
9,Chattahoochee Valley Community College,Phenix City,NCCAA Division I,350,140400.0,28000.0,40.0,242167.0,407506.0,407506,16.0,16.0,2679.0,42869.0,,182228.0,184601.0
10,Concordia College-Selma,Selma,Other,360,341320.0,33000.0,152.0,197294.0,1081459.0,1081459,17.0,17.0,2335.0,39697.0,,96934.0,96934.0
11,Enterprise State Community College,Enterprise,NJCAA Division I,1170,228791.0,50591.0,46.0,306499.0,417082.0,417082,18.0,18.0,952.0,17138.0,,110583.0,110583.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I,1066,339269.0,0.0,79.0,323681.0,509079.0,509079,19.0,19.0,2140.0,40658.0,,192374.0,187320.0
13,Faulkner University,Montgomery,NAIA Division I,789,1717235.0,51472.0,200.0,1419902.0,3207794.0,3207794,16.0,16.0,4866.0,77849.0,,477857.0,477857.0
14,Gadsden State Community College,Gadsden,Other,1783,136635.0,19228.0,41.0,173713.0,305866.0,305866,14.0,14.0,2010.0,28138.0,0.0,132153.0,132153.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I,964,151552.0,10000.0,24.0,287107.0,280966.0,280966,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I,1519,335393.0,10431.0,75.0,336543.0,472549.0,472549,13.0,13.0,1222.0,15888.0,,136006.0,136006.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I,472,82403.0,10000.0,50.0,118506.0,212119.0,212119,18.0,18.0,2639.0,47506.0,,93613.0,93613.0
18,Huntingdon College,Montgomery,NCAA Division III (with football),466,0.0,55500.0,276.0,528934.0,1431926.0,1431926,18.0,18.0,3303.0,59453.0,1.0,213437.0,213845.0
19,Jacksonville State University,Jacksonville,NCAA Division I-AA,2627,2103811.0,79229.0,173.0,1332230.0,5252687.0,5252687,16.0,16.0,12351.0,197612.0,1.0,922011.0,922011.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I,294,267186.0,20674.0,43.0,195019.0,362500.0,362500,15.0,15.0,1042.0,15628.0,,167481.0,167481.0
21,Jefferson State Community College,Birmingham,NJCAA Division I,1683,111592.0,51664.0,31.0,233415.0,233415.0,233415,,,,,,,
22,JOHN C CALHOUN STATE COMMUNITY COLLEGE,Tanner,NJCAA Division I,2555,108177.0,25000.0,24.0,224522.0,224522.0,224522,,,,,,,
23,Judson College,Marion,Other,3,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
24,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I,1070,126935.0,27108.0,42.0,187999.0,329823.0,329823,18.0,18.0,1028.0,18508.0,,141824.0,137585.0
25,University of West Alabama,Livingston,NCAA Division II (with football),688,794570.0,51553.0,197.0,548805.0,2147335.0,2206830,16.0,16.0,7548.0,120772.0,1.0,329237.0,329237.0
26,Lurleen B Wallace Community College,Andalusia,NJCAA Division I,433,165211.0,24195.0,39.0,159760.0,286226.0,286226,15.0,15.0,1053.0,15790.0,,126466.0,126466.0
27,Marion Military Institute,Marion,NJCAA Division I,335,447976.0,18318.0,51.0,460727.0,646529.0,646529,15.0,15.0,1236.0,18542.0,,207956.0,206886.0
28,Miles College,Fairfield,NCAA Division II (with football),752,450444.0,38207.0,118.0,160897.0,1438816.0,1438816,15.0,15.0,6845.0,102671.0,1.0,253060.0,283779.0
29,University of Mobile,Mobile,NAIA Division I,429,927251.0,31979.0,88.0,1170010.0,1556350.0,1556350,14.0,14.0,3521.0,49292.0,1.0,415522.0,409250.0
30,University of Montevallo,Montevallo,NCAA Division II (without football),740,544836.0,46392.0,80.0,767938.0,1216545.0,1216545,12.0,12.0,4757.0,57089.0,1.0,448607.0,448607.0
31,Northwest Shoals Community College-Muscle Shoals,Muscle Shoals,NJCAA Division I,1097,175379.0,8025.0,39.0,207960.0,303090.0,303090,17.0,17.0,1235.0,21000.0,,95130.0,95130.0
32,University of North Alabama,Florence,NCAA Division II (with football),2166,1019175.0,46186.0,153.0,712103.0,2724519.0,2724519,15.0,15.0,3874.0,58104.0,1.0,381686.0,381686.0
33,Oakwood University,Huntsville,Other,741,0.0,1750.0,31.0,3679.0,32433.0,32433,15.0,15.0,1515.0,22724.0,0.0,28754.0,27754.0
34,Alabama Southern Community College,Monroeville,NJCAA Division II,367,129534.0,41442.0,39.0,218925.0,387228.0,387228,14.0,14.0,3982.0,55746.0,1.0,168303.0,168303.0
35,Bishop State Community College,Mobile,NJCAA Division I,668,137623.0,58338.0,34.0,235553.0,382512.0,382512,14.0,14.0,2423.0,33919.0,1.0,149232.0,146959.0
36,Samford University,Birmingham,NCAA Division I-AA,1013,3746976.0,119216.0,265.0,2062434.0,8017557.0,8017557,14.0,14.0,15210.0,212935.0,1.0,1449609.0,1266409.0
37,Selma University,Selma,Other,112,42000.0,1200.0,28.0,103200.0,101547.0,101547,,0.0,0.0,0.0,,,
38,Shelton State Community College,Tuscaloosa,NJCAA Division I,1670,182025.0,51085.0,49.0,323663.0,579749.0,579749,16.0,16.0,6124.0,97991.0,1.0,276356.0,266020.0
39,Snead State Community College,Boaz,NJCAA Division II,560,286675.0,19659.0,55.0,234192.0,406683.0,406683,17.0,17.0,1216.0,20666.0,,172491.0,172491.0
40,University of South Alabama,Mobile,NCAA Division I-A,3799,2463588.0,98674.0,282.0,2046185.0,9165054.0,9165054,16.0,16.0,22558.0,360921.0,1.0,1619051.0,1312333.0
41,Spring Hill College,Mobile,NAIA Division I,495,651977.0,25625.0,122.0,517498.0,1084892.0,1084892,17.0,17.0,2479.0,42140.0,1.0,570716.0,570716.0
42,Stillman College,Tuscaloosa,NCAA Division II (with football),441,658500.0,26750.0,145.0,274740.0,1232994.0,1232994,14.0,14.0,2651.0,37113.0,1.0,223196.0,223196.0
43,Talladega College,Talladega,NAIA Division I,278,431256.0,31250.0,86.0,464764.0,688267.0,688267,20.0,20.0,1440.0,28800.0,1.0,231503.0,223503.0
44,Troy University,Troy,NCAA Division I-A,4399,2302331.0,127127.0,264.0,2179460.0,7887074.0,7887074,15.0,15.0,10578.0,158667.0,1.0,889851.0,889851.0
45,Tuskegee University,Tuskegee,NCAA Division II (with football),1045,157.0,44347.0,202.0,257372.0,2301462.0,2301462,23.0,23.0,3352.0,77093.0,1.0,402628.0,402629.0
46,Bevill State Community College,Jasper,NJCAA Division I,1097,174382.0,27750.0,51.0,171049.0,292201.0,292201,21.0,21.0,1148.0,24111.0,,121152.0,121152.0
47,University of Alaska Anchorage,Anchorage,NCAA Division II (without football),3205,966275.0,80904.0,85.0,2758279.0,3936426.0,3936426,18.0,18.0,13069.0,235238.0,1.0,1209079.0,1188025.0
48,University of Alaska Fairbanks,Fairbanks,NCAA Division II (without football),1768,602354.0,50733.0,73.0,2540364.0,3185249.0,3366474,14.0,14.0,14520.0,203285.0,1.0,644885.0,661192.0
49,Arizona State University,Tempe,NCAA Division I-A,23121,5647827.0,542954.0,366.0,2155523.0,28183913.0,28183913,17.0,17.0,46811.0,795791.0,1.0,8530479.0,6220193.0
50,Arizona Western College,Yuma,NJCAA Division I,1283,655607.0,27787.0,153.0,412499.0,1197794.0,1197794,15.0,15.0,4705.0,70580.0,,210344.0,210344.0
51,University of Arizona,Tucson,NCAA Division I-A,12715,5571826.0,667189.0,265.0,1804411.0,32891787.0,32891787,15.0,15.0,121056.0,1815836.0,1.0,21209980.0,6918239.0
52,Central Arizona College,Coolidge,NJCAA Division I,839,364711.0,8031.0,102.0,465198.0,592741.0,592741,14.0,14.0,1878.0,26295.0,,127543.0,105523.0
53,Cochise College,Douglas,NJCAA Division I,689,193950.0,5000.0,52.0,220464.0,331770.0,331770,13.0,13.0,1476.0,19189.0,,111306.0,111306.0
54,Eastern Arizona College,Thatcher,NJCAA Division I,1095,525532.0,13373.0,140.0,247410.0,1009287.0,1009287,12.0,12.0,6107.0,73284.0,,191439.0,191439.0
55,Embry Riddle Aeronautical University-Prescott,Prescott,NAIA Division I,1278,414162.0,47346.0,52.0,730556.0,713549.0,713549,,,,,,,
56,Glendale Community College,Glendale,NJCAA Division II,3114,115553.0,9895.0,230.0,166641.0,427407.0,427407,15.0,15.0,880.0,13203.0,,50569.0,40533.0
57,Grand Canyon University,Phoenix,NCAA Division II (without football),918,1711295.0,72134.0,325.0,3683242.0,5008117.0,5008117,16.0,16.0,16724.0,267579.0,1.0,1324875.0,1324875.0
58,GateWay Community College,Phoenix,NJCAA Division II,532,46966.0,17992.0,59.0,208392.0,200652.0,200652,,,,,,,
59,Mesa Community College,Mesa,NJCAA Division I,3891,81250.0,24555.0,284.0,254693.0,541747.0,541747,15.0,15.0,1127.0,16903.0,1.0,89811.0,82811.0
60,Dine College,Tsaile,Other,409,57107.0,5000.0,31.0,179512.0,161512.0,161512,,,,,,,
61,Northern Arizona University,Flagstaff,NCAA Division I-AA,7083,1886532.0,80120.0,199.0,755226.0,4423371.0,4423371,16.0,16.0,19754.0,316067.0,1.0,1050348.0,1050348.0
62,Phoenix College,Phoenix,NJCAA Division II,1171,121457.0,34283.0,142.0,168449.0,478157.0,478157,14.0,14.0,1693.0,23695.0,1.0,108143.0,109547.0
63,Pima Community College,Tucson,NJCAA Division I,3512,207212.0,13743.0,232.0,419420.0,796135.0,796135,15.0,15.0,1923.0,28844.0,,64559.0,64559.0
64,Scottsdale Community College,Scottsdale,NJCAA Division I,1757,40575.0,10657.0,166.0,141343.0,284857.0,284857,14.0,14.0,868.0,12158.0,,55621.0,55621.0
65,South Mountain Community College,Phoenix,NJCAA Division II,556,0.0,24183.0,76.0,199357.0,222679.0,222679,14.0,14.0,931.0,13033.0,,47848.0,40805.0
66,Arizona Christian University,Phoenix,NAIA Division II,216,207304.0,12427.0,77.0,441265.0,552180.0,552180,15.0,15.0,2233.0,33502.0,,113520.0,112001.0
67,Yavapai College,Prescott,NJCAA Division I,903,207814.0,49854.0,61.0,420997.0,600291.0,600291,11.0,11.0,3968.0,43643.0,1.0,179294.0,179294.0
