,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-FCS,1801,2085307.0,67604.0,226.0,946611.0,946611.0,946611,15.0,15.0,15111.0,226663.0,1.0,824939.0,824939.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-FBS,3668,1745432.0,164067.0,95.0,3009310.0,3009065.0,3068488,13.0,13.0,56111.0,729441.0,1.0,3369190.0,3357016.0
2,University of Alabama in Huntsville,Huntsville,NCAA Division II without football,3023,1603935.0,67071.0,259.0,2989458.0,2989458.0,2989458,19.0,19.0,5687.0,108046.0,1.0,678342.0,678342.0
3,Alabama State University,Montgomery,NCAA Division I-FCS,1646,2123402.0,96711.0,251.0,1319095.0,1319095.0,1319095,16.0,16.0,5384.0,86146.0,1.0,815998.0,815998.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-FBS,13038,8602048.0,2235296.0,362.0,2113599.0,10074583.0,10074583,15.0,15.0,122080.0,1831200.0,1.0,15003656.0,9681264.0
5,Central Alabama Community College,Alexander City,NJCAA Division I ,411,207959.0,38166.0,44.0,531433.0,500960.0,500960,,,,,,,
6,Auburn University at Montgomery,Montgomery,NCAA Division II without football,1085,825449.0,35558.0,81.0,924566.0,924566.0,924566,14.0,14.0,3556.0,49782.0,1.0,409574.0,409574.0
7,Auburn University,Auburn,NCAA Division I-FBS,10026,8719706.0,1348294.0,306.0,1199272.0,10221134.0,10221134,21.0,21.0,75933.0,1594593.0,1.0,9900612.0,9632816.0
8,Birmingham Southern College,Birmingham,NCAA Division III with football,630,0.0,51952.0,444.0,1056139.0,1056139.0,1056139,27.0,27.0,3747.0,101156.0,1.0,223759.0,223759.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I ,387,314712.0,29209.0,47.0,476649.0,476649.0,476649,17.0,17.0,2331.0,39628.0,,276209.0,276209.0
10,Concordia College Alabama,Selma,USCAA,164,165160.0,19933.0,50.0,216529.0,216529.0,216529,13.0,13.0,3310.0,43031.0,1.0,130281.0,130281.0
11,Enterprise State Community College,Enterprise,NJCAA Division I ,433,179562.0,33601.0,38.0,209048.0,209048.0,209048,14.0,14.0,1217.0,17036.0,,115532.0,115532.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I ,995,401543.0,,80.0,453837.0,453837.0,453837,17.0,17.0,2232.0,37940.0,,189233.0,189233.0
13,Faulkner University,Montgomery,NAIA Division I ,741,2607358.0,55005.0,249.0,1931985.0,1931985.0,1931985,14.0,14.0,6037.0,84517.0,0.0,627618.0,627618.0
14,Gadsden State Community College,Gadsden,NJCAA Division I ,1145,81795.0,14310.0,30.0,47253.0,47253.0,47253,18.0,18.0,1247.0,22437.0,,103871.0,103871.0
15,George C Wallace Community College-Dothan,Dothan,NJCAA Division I ,766,215125.0,57238.0,24.0,411117.0,402246.0,402246,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I ,1123,355336.0,17066.0,72.0,395810.0,395810.0,395810,18.0,18.0,759.0,13670.0,,176298.0,176298.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I ,403,82403.0,10000.0,51.0,118402.0,118402.0,118402,18.0,18.0,2633.0,47400.0,,93600.0,93600.0
18,Huntingdon College,Montgomery,NCAA Division III with football,504,0.0,63892.0,324.0,1070342.0,1070342.0,1070342,24.0,24.0,3291.0,78984.0,1.0,272436.0,272436.0
19,Jacksonville State University,Jacksonville,NCAA Division I-FCS,2360,2582936.0,120057.0,222.0,1320084.0,1320084.0,1454664,16.0,16.0,22772.0,364349.0,1.0,1616369.0,1616369.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I ,290,375979.0,24996.0,44.0,261024.0,261024.0,261024,16.0,16.0,974.0,15582.0,,217294.0,217294.0
21,Jefferson State Community College,Birmingham,NJCAA Division I ,1163,29156.0,15047.0,8.0,77508.0,77508.0,77508,,,,,,,
22,John C Calhoun State Community College,Tanner,NJCAA Division I ,1750,214509.0,22604.0,42.0,372769.0,372769.0,372769,,,,,,,
23,Judson College,Marion,USCAA,3,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
24,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I ,798,266910.0,29168.0,48.0,315689.0,315689.0,315689,9.0,9.0,4501.0,40507.0,,270563.0,270563.0
25,University of West Alabama,Livingston,NCAA Division II with football,781,1493665.0,57432.0,282.0,1559549.0,1559549.0,1720158,15.0,15.0,6146.0,92190.0,1.0,506497.0,506497.0
26,Lurleen B Wallace Community College,Andalusia,NJCAA Division I ,421,193989.0,30650.0,49.0,167436.0,167436.0,167436,20.0,20.0,790.0,15790.0,,133321.0,133321.0
27,Marion Military Institute,Marion,NJCAA Division I ,330,335816.0,43445.0,61.0,453165.0,429445.0,429445,14.0,14.0,1076.0,15067.0,1.0,228394.0,227894.0
28,Miles College,Fairfield,NCAA Division II with football,894,851832.0,56806.0,123.0,268586.0,272210.0,272210,14.0,14.0,9162.0,128274.0,1.0,421502.0,403445.0
29,University of Mobile,Mobile,NAIA Division I ,476,1687682.0,26253.0,122.0,1915769.0,1911583.0,1943006,14.0,14.0,5904.0,82653.0,,537432.0,536599.0
30,University of Montevallo,Montevallo,NCAA Division II without football,689,975048.0,55518.0,225.0,1393639.0,1393639.0,1393639,15.0,15.0,5257.0,78848.0,1.0,600081.0,600081.0
31,University of North Alabama,Florence,NCAA Division II with football,2100,1255063.0,59363.0,192.0,908599.0,908599.0,908599,15.0,15.0,7995.0,119932.0,1.0,528229.0,528229.0
32,Oakwood University,Huntsville,USCAA,681,0.0,2000.0,31.0,10740.0,10740.0,10740,14.0,14.0,2602.0,36426.0,,43753.0,43653.0
33,Alabama Southern Community College,Monroeville,NJCAA Division II ,368,324093.0,49898.0,54.0,336157.0,336157.0,336157,21.0,21.0,3464.0,72734.0,1.0,274139.0,274139.0
34,Bishop State Community College,Mobile,NJCAA Division I ,682,272101.0,62818.0,47.0,263449.0,263449.0,263449,20.0,20.0,1711.0,34220.0,1.0,231786.0,231786.0
35,Samford University,Birmingham,NCAA Division I-FCS,1114,4665641.0,113494.0,262.0,2362724.0,2339639.0,2339639,14.0,14.0,25380.0,355318.0,1.0,1843562.0,1843562.0
36,Selma University,Selma,NCCAA Division I ,45,15000.0,11000.0,32.0,119231.0,99990.0,99990,12.0,12.0,1684.0,20213.0,,114598.0,90802.0
37,Shelton State Community College,Tuscaloosa,NJCAA Division I ,1037,217957.0,69569.0,54.0,349061.0,349060.0,349060,18.0,18.0,4587.0,82574.0,1.0,274926.0,274927.0
38,Snead State Community College,Boaz,NJCAA Division I ,532,351728.0,19000.0,84.0,372203.0,372203.0,372203,26.0,26.0,1384.0,35972.0,,199009.0,199009.0
39,University of South Alabama,Mobile,NCAA Division I-FBS,4446,3846603.0,164475.0,299.0,2737928.0,2683280.0,2683280,17.0,17.0,27647.0,469997.0,1.0,2054100.0,1818722.0
40,Spring Hill College,Mobile,NCAA Division II without football,502,748888.0,31707.0,133.0,969679.0,932936.0,932936,17.0,17.0,2809.0,47745.0,1.0,515533.0,511513.0
41,Stillman College,Tuscaloosa,NAIA Division I ,248,100637.0,48004.0,29.0,127494.0,127494.0,127494,12.0,12.0,3282.0,39383.0,,250533.0,250533.0
42,Talladega College,Talladega,NAIA Division I ,327,386974.0,31833.0,53.0,309338.0,309338.0,309338,12.0,12.0,6842.0,82102.0,1.0,358676.0,358676.0
43,Troy University,Troy,NCAA Division I-FBS,3711,3221312.0,302934.0,267.0,1995618.0,1910134.0,1910134,15.0,15.0,17303.0,259547.0,1.0,2569292.0,2628993.0
44,Tuskegee University,Tuskegee,NCAA Division II with football,870,1556932.0,50617.0,191.0,505239.0,505239.0,505239,12.0,12.0,6173.0,74080.0,1.0,539731.0,539731.0
45,University of Alaska Anchorage,Anchorage,NCAA Division II without football,3099,1456754.0,75359.0,122.0,3673876.0,3673876.0,3673876,13.0,13.0,13393.0,174111.0,1.0,1537164.0,1537164.0
46,University of Alaska Fairbanks,Fairbanks,NCAA Division II without football,1570,764971.0,64480.0,74.0,2647493.0,2632402.0,2772831,17.0,17.0,9811.0,166788.0,,673510.0,673510.0
47,Arizona State University-Tempe,Tempe,NCAA Division I-FBS,22020,7352658.0,757566.0,376.0,6456697.0,12818345.0,12818345,16.0,16.0,75374.0,1205988.0,1.0,7693224.0,6581872.0
48,Arizona Western College,Yuma,NJCAA Division I ,1062,715423.0,34201.0,145.0,477472.0,477472.0,477472,17.0,17.0,3890.0,66122.0,,220101.0,220101.0
49,University of Arizona,Tucson,NCAA Division I-FBS,13909,7256670.0,909073.0,295.0,2473960.0,7723491.0,7723491,15.0,15.0,206080.0,3091204.0,1.0,23434825.0,9852596.0
50,Central Arizona College,Coolidge,NJCAA Division I ,761,446483.0,8768.0,121.0,622389.0,622389.0,622389,12.0,12.0,2315.0,27785.0,,161872.0,161872.0
51,Cochise County Community College District,Douglas,NJCAA Division I ,731,219400.0,71133.0,47.0,385840.0,385840.0,385840,15.0,15.0,1650.0,24753.0,1.0,252551.0,252551.0
52,Eastern Arizona College,Thatcher,NJCAA Division I ,1060,746637.0,14949.0,137.0,372037.0,372037.0,372037,13.0,13.0,7282.0,94671.0,1.0,222904.0,222904.0
53,Embry-Riddle Aeronautical University-Prescott,Prescott,NAIA Division I ,1700,757284.0,37190.0,91.0,1089808.0,1047686.0,1047686,12.0,12.0,6629.0,79550.0,1.0,350540.0,345740.0
54,Glendale Community College,Glendale,NJCAA Division II ,2775,112548.0,14034.0,246.0,194057.0,192309.0,192309,20.0,20.0,1104.0,22077.0,1.0,104061.0,89476.0
55,Grand Canyon University,Phoenix,NCAA Division I without football,5251,2198797.0,263420.0,262.0,5200387.0,5200387.0,5200387,18.0,18.0,40223.0,724011.0,1.0,4340799.0,4340799.0
56,GateWay Community College,Phoenix,NJCAA Division II ,509,33533.0,35298.0,52.0,211603.0,223986.0,223986,,,,,,,
57,Mesa Community College,Mesa,NJCAA Division II ,3161,83633.0,29182.0,287.0,415464.0,415464.0,415464,15.0,15.0,2203.0,33042.0,1.0,111872.0,111872.0
58,Dine College,Tsaile,Other ,304,15600.0,6000.0,23.0,67400.0,67400.0,67400,,,,,,,
59,Northern Arizona University,Flagstaff,NCAA Division I-FCS,8891,2712642.0,126798.0,256.0,1354959.0,1354959.0,1354959,20.0,20.0,20823.0,416458.0,1.0,1686631.0,1686631.0
60,Phoenix College,Phoenix,NJCAA Division II ,1199,118786.0,48869.0,148.0,247880.0,247880.0,247880,13.0,13.0,1338.0,17399.0,1.0,129111.0,129111.0
61,Pima Community College,Tucson,NJCAA Division I ,3701,314440.0,23887.0,293.0,683006.0,683005.0,683005,19.0,19.0,3307.0,62833.0,,257360.0,257360.0
62,Scottsdale Community College,Scottsdale,Other ,1272,59150.0,29455.0,153.0,159792.0,159792.0,159792,13.0,13.0,1664.0,21633.0,1.0,98115.0,98115.0
63,South Mountain Community College,Phoenix,NJCAA Division II ,572,31200.0,32880.0,84.0,309082.0,282556.0,282556,16.0,16.0,1094.0,17511.0,,45864.0,43148.0
64,Arizona Christian University,Phoenix,NAIA Division I ,402,1350050.0,20937.0,280.0,1041052.0,1041052.0,1041052,19.0,19.0,3520.0,66880.0,,280162.0,280162.0
65,Yavapai College,Prescott,NJCAA Division I ,848,312995.0,55368.0,54.0,626131.0,626131.0,626131,,,,,,,
66,University of Arkansas at Little Rock,Little Rock,NCAA Division I without football,1878,1035269.0,160512.0,113.0,292342.0,1909983.0,1909983,17.0,17.0,35126.0,597147.0,1.0,1888655.0,2196669.0
67,Arkansas Baptist College,Little Rock,NJCAA Division II ,532,105300.0,17434.0,148.0,165898.0,165898.0,165898,13.0,13.0,1940.0,25222.0,1.0,135728.0,135728.0
68,Lyon College,Batesville,NAIA Division I ,363,2878283.0,37344.0,219.0,1765779.0,1765779.0,1765779,19.0,19.0,2253.0,42809.0,1.0,521712.0,521712.0
69,University of Arkansas,Fayetteville,NCAA Division I-FBS,9277,6230812.0,1358965.0,308.0,4631327.0,10473766.0,10473766,14.0,14.0,163309.0,2286322.0,1.0,16332876.0,9790947.0
70,University of Arkansas at Pine Bluff,Pine Bluff,NCAA Division I-FCS,1029,1579538.0,80061.0,207.0,680886.0,680886.0,680886,15.0,15.0,19031.0,285463.0,1.0,853508.0,853508.0
71,Arkansas State University-Main Campus,Jonesboro,NCAA Division I-FBS,3198,3552886.0,98702.0,266.0,1800409.0,1800409.0,1800409,14.0,14.0,32010.0,448145.0,1.0,1523524.0,1523524.0
