,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-AA,1820,1959092.0,67210.0,155.0,650761.0,4189676.0,4189676,14.0,14.0,8736.0,122301.0,1.0,1100954.0,778139.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-A,3497,3343273.0,232932.0,207.0,2441185.0,12465958.0,12465958,12.0,12.0,41487.0,497845.0,1.0,3305472.0,2946415.0
2,University of Alabama at Huntsville,Huntsville,NCAA Division II (without football),2370,1352249.0,61859.0,182.0,2302780.0,2883613.0,2883613,16.0,16.0,7006.0,112090.0,1.0,580833.0,580833.0
3,Alabama State University,Montgomery,NCAA Division I-AA,1901,2900556.0,86174.0,186.0,1588287.0,5508771.0,5508771,16.0,16.0,10909.0,174547.0,1.0,925071.0,925071.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-A,11721,5782892.0,1251291.0,367.0,819326.0,54696769.0,54696769,18.0,18.0,65576.0,1180359.0,1.0,12185695.0,6354140.0
5,Central Alabama Community College,Alexander City,NJCAA Division I,371,128486.0,27579.0,41.0,308008.0,308008.0,308008,,,,,,,
6,Auburn University at Montgomery,Montgomery,NAIA Division I,1095,637556.0,46847.0,90.0,913953.0,1224713.0,1224713,18.0,18.0,2156.0,38810.0,1.0,414210.0,392922.0
7,Auburn University,Auburn University,NCAA Division I-A,9176,5641764.0,901590.0,321.0,678702.0,52236712.0,52236712,16.0,16.0,88424.0,1414788.0,1.0,9482254.0,8016340.0
8,Birmingham Southern College,Birmingham,NCAA Division III (with football),643,0.0,40845.0,340.0,893475.0,1604837.0,1604837,28.0,28.0,3224.0,90265.0,1.0,192010.0,192010.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I,396,274679.0,30328.0,40.0,310336.0,484576.0,484576,16.0,16.0,2716.0,43452.0,,174240.0,174240.0
10,Concordia College Alabama,Selma,Other,350,367639.0,26680.0,145.0,352629.0,991147.0,991147,17.0,17.0,3963.0,67374.0,1.0,290299.0,246124.0
11,Enterprise State Community College,Enterprise,NJCAA Division I,900,176166.0,21627.0,43.0,164177.0,286112.0,286112,15.0,15.0,1485.0,22272.0,0.0,121935.0,121935.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I,954,398470.0,0.0,76.0,377910.0,562510.0,562510,15.0,15.0,2524.0,37865.0,,210473.0,188782.0
13,Faulkner University,Montgomery,NAIA Division I,801,2283586.0,50389.0,272.0,1500500.0,4240613.0,4240613,14.0,14.0,6635.0,92892.0,,560541.0,560541.0
14,Gadsden State Community College,Gadsden,NJCAA Division I,1352,126014.0,15092.0,27.0,63636.0,223895.0,223895,16.0,16.0,2086.0,33375.0,,160259.0,160259.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I,842,167942.0,20920.0,25.0,316276.0,303570.0,303570,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I,1223,376476.0,10211.0,80.0,366243.0,549991.0,549991,16.0,16.0,963.0,15405.0,,183748.0,183748.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I,450,81200.0,10000.0,51.0,115480.0,205885.0,205885,18.0,18.0,2356.0,42403.0,,90405.0,90405.0
18,Huntingdon College,Montgomery,NCAA Division III (with football),508,0.0,56125.0,316.0,773565.0,1670376.0,1670376,29.0,29.0,1859.0,53920.0,1.0,221687.0,217631.0
19,Jacksonville State University,Jacksonville,NCAA Division I-AA,2517,2301272.0,95860.0,177.0,1291667.0,5906879.0,6018754,17.0,17.0,11004.0,187074.0,1.0,1030953.0,1030953.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I,314,249208.0,21300.0,42.0,192957.0,357565.0,357565,14.0,14.0,797.0,11159.0,,164608.0,164608.0
21,John C Calhoun State Community College,Tanner,NJCAA Division I,1781,173683.0,25195.0,33.0,289229.0,289229.0,289229,,,,,,,
22,Judson College,Marion,Other,1,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
23,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I,763,212107.0,28790.0,43.0,263339.0,460523.0,460523,16.0,16.0,1372.0,21944.0,,197184.0,196204.0
24,University of West Alabama,Livingston,NCAA Division II (with football),747,1012242.0,63052.0,232.0,798470.0,2811933.0,2916573,13.0,13.0,16401.0,213211.0,1.0,442213.0,442213.0
25,Lurleen B Wallace Community College,Andalusia,NJCAA Division I,366,167672.0,39592.0,41.0,174546.0,307319.0,307319,15.0,15.0,1053.0,15790.0,,136773.0,136773.0
26,Marion Military Institute,Marion,NJCAA Division I,317,410029.0,26935.0,46.0,445783.0,644339.0,644339,14.0,14.0,1592.0,22288.0,,204772.0,204772.0
27,Miles College,Fairfield,NCAA Division II (with football),828,768181.0,46636.0,134.0,241802.0,2315934.0,2315934,15.0,15.0,7790.0,116853.0,1.0,388377.0,256504.0
28,University of Mobile,Mobile,NAIA Division I,447,1074245.0,34234.0,86.0,1274442.0,1724578.0,1724578,15.0,15.0,3775.0,56632.0,1.0,456208.0,454446.0
29,University of Montevallo,Montevallo,NCAA Division II (without football),803,577327.0,45921.0,109.0,845754.0,1357561.0,1357561,16.0,16.0,4605.0,73675.0,1.0,511807.0,511807.0
30,University of North Alabama,Florence,NCAA Division II (with football),2097,1191891.0,48371.0,177.0,760745.0,2702019.0,2702019,15.0,15.0,6747.0,101207.0,1.0,459997.0,459997.0
31,Oakwood University,Huntsville,Other,790,0.0,3000.0,38.0,4020.0,32503.0,32503,16.0,16.0,903.0,14445.0,,28483.0,28483.0
32,Alabama Southern Community College,Monroeville,NJCAA Division II,316,250204.0,45376.0,55.0,336658.0,546840.0,546840,23.0,23.0,2376.0,54655.0,1.0,210182.0,210182.0
33,Bishop State Community College,Mobile,NJCAA Division I,774,171770.0,76377.0,42.0,198084.0,521273.0,521273,17.0,17.0,1188.0,20191.0,1.0,323189.0,323189.0
34,Samford University,Birmingham,NCAA Division I-AA,968,4318343.0,112640.0,280.0,2050847.0,8958800.0,8958800,18.0,18.0,18014.0,324251.0,1.0,2156685.0,1778309.0
35,Selma University,Selma,Other,190,30000.0,6000.0,30.0,53697.0,77023.0,77023,12.0,12.0,686.0,8233.0,,25236.0,24647.0
36,Shelton State Community College,Tuscaloosa,NJCAA Division I,1238,187439.0,51085.0,45.0,370244.0,632094.0,632094,15.0,15.0,6492.0,97378.0,1.0,296744.0,275737.0
37,Snead State Community College,Boaz,NJCAA Division I,646,238084.0,18500.0,54.0,273232.0,428905.0,428905,16.0,16.0,2394.0,38298.0,,155673.0,155673.0
38,University of South Alabama,Mobile,NCAA Division I-A,3887,3001317.0,124952.0,278.0,1992310.0,8812776.0,8812776,16.0,16.0,15102.0,241631.0,1.0,1773697.0,1502682.0
39,Spring Hill College,Mobile,NAIA Division I,438,755207.0,27454.0,129.0,728930.0,1302071.0,1302071,19.0,19.0,1849.0,35137.0,1.0,575780.0,574037.0
40,Stillman College,Tuscaloosa,NCAA Division II (with football),493,944306.0,34950.0,166.0,480884.0,1590833.0,1590833,12.0,12.0,5430.0,65160.0,1.0,264083.0,264033.0
