,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
0,Alabama A & M University,Normal,NCAA Division I-AA,1828,1751190.0,56892.0,166.0,615920.0,3723602.0,3723602,16.0,16.0,10905.0,174473.0,1.0,835750.0,604570.0
1,University of Alabama at Birmingham,Birmingham,NCAA Division I-A,3444,3406597.0,264285.0,216.0,2552875.0,13228734.0,13228734,13.0,13.0,42298.0,549872.0,1.0,3418881.0,3360401.0
2,University of Alabama at Huntsville,Huntsville,NCAA Division II (without football),2338,1240007.0,59979.0,162.0,1793759.0,2315726.0,2315726,15.0,15.0,6618.0,99268.0,1.0,521967.0,521967.0
3,Alabama State University,Montgomery,NCAA Division I-AA,1783,2156471.0,75843.0,191.0,1281529.0,4928086.0,4928086,13.0,13.0,15066.0,195853.0,1.0,823840.0,823840.0
4,The University of Alabama,Tuscaloosa,NCAA Division I-A,11048,5604727.0,1170893.0,334.0,744234.0,49153026.0,49153026,19.0,19.0,56757.0,1078392.0,1.0,11770736.0,6161728.0
5,Central Alabama Community College,Alexander City,NJCAA Division I,539,128486.0,27579.0,41.0,309008.0,309008.0,309008,,,,,,,
6,Auburn University at Montgomery,Montgomery,NAIA Division I,1134,603190.0,46174.0,104.0,898248.0,1211000.0,1211000,18.0,18.0,2013.0,36238.0,1.0,391844.0,355130.0
7,Auburn University,Auburn University,NCAA Division I-A,9344,5688602.0,943899.0,315.0,1532857.0,48988652.0,48988652,17.0,17.0,63333.0,1076664.0,1.0,9493646.0,7588390.0
8,Birmingham Southern College,Birmingham,NCAA Division III (with football),661,0.0,41116.0,310.0,849997.0,1573004.0,1573004,17.0,17.0,6576.0,111798.0,1.0,218640.0,218640.0
9,Chattahoochee Valley Community College,Phenix City,NJCAA Division I,343,184000.0,34298.0,40.0,210262.0,393802.0,393802,16.0,16.0,2314.0,37028.0,,183540.0,183540.0
10,Concordia College Alabama,Selma,Other,392,320213.0,23468.0,119.0,176563.0,957324.0,957324,15.0,15.0,3216.0,48236.0,,88386.0,88386.0
11,Enterprise State Community College,Enterprise,NJCAA Division I,1083,229383.0,61755.0,39.0,228662.0,357848.0,357848,11.0,11.0,1558.0,17137.0,,129186.0,129186.0
12,James H Faulkner State Community College,Bay Minette,NJCAA Division I,919,401709.0,,81.0,374615.0,594171.0,594171,22.0,22.0,2065.0,45425.0,,224467.0,220878.0
13,Faulkner University,Montgomery,NAIA Division I,785,2089746.0,55920.0,289.0,1717424.0,3802190.0,3802190,14.0,14.0,5424.0,75929.0,,449915.0,449915.0
14,Gadsden State Community College,Gadsden,NJCAA Division I,1627,104269.0,15092.0,21.0,60796.0,193741.0,193741,15.0,15.0,1885.0,28269.0,,132945.0,132945.0
15,George C Wallace State Community College-Dothan,Dothan,NJCAA Division I,937,157620.0,20000.0,24.0,278201.0,272381.0,272381,,,,,,,
16,George C Wallace State Community College-Hanceville,Hanceville,NJCAA Division I,1255,346808.0,10211.0,78.0,351621.0,516586.0,516586,11.0,11.0,3266.0,35924.0,,164965.0,164965.0
17,George C Wallace State Community College-Selma,Selma,NJCAA Division I,473,82400.0,10000.0,53.0,120402.0,214012.0,214012,18.0,18.0,2639.0,47502.0,,93610.0,93610.0
18,Huntingdon College,Montgomery,NCAA Division III (with football),484,0.0,51984.0,290.0,670117.0,1589067.0,1589067,29.0,29.0,2312.0,67051.0,1.0,227258.0,227258.0
19,Jacksonville State University,Jacksonville,NCAA Division I-AA,2602,2329424.0,85044.0,177.0,1542236.0,6048689.0,6048689,16.0,16.0,11939.0,191021.0,1.0,1009758.0,1009758.0
20,Jefferson Davis Community College,Brewton,NJCAA Division I,345,285952.0,20041.0,41.0,220599.0,375986.0,375986,14.0,14.0,1048.0,14667.0,,155387.0,155387.0
21,John C Calhoun State Community College,Tanner,NJCAA Division I,2183,142980.0,19641.0,34.0,256887.0,256887.0,256887,,,,,,,
22,Judson College,Marion,Other,4,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
23,Lawson State Community College-Birmingham Campus,Birmingham,NJCAA Division I,984,138529.0,27980.0,45.0,258115.0,452833.0,452833,18.0,18.0,1081.0,19449.0,,194718.0,193420.0
24,University of West Alabama,Livingston,NCAA Division II (with football),740,821064.0,68417.0,198.0,662155.0,2550921.0,2615689,14.0,14.0,9568.0,133952.0,1.0,443576.0,443576.0
25,Lurleen B Wallace Community College,Andalusia,NJCAA Division I,388,166298.0,24195.0,41.0,168609.0,287314.0,287314,15.0,15.0,1053.0,15790.0,,118705.0,118705.0
26,Marion Military Institute,Marion,NJCAA Division I,336,443345.0,26935.0,50.0,463844.0,668232.0,668232,16.0,16.0,1043.0,16682.0,,209652.0,209652.0
27,Miles College,Fairfield,NCAA Division II (with football),760,615050.0,40573.0,134.0,260972.0,2031285.0,2031285,14.0,14.0,6703.0,93844.0,1.0,306709.0,306709.0
28,University of Mobile,Mobile,NAIA Division I,450,1149451.0,32861.0,115.0,1373296.0,1779130.0,1779130,20.0,20.0,3026.0,60520.0,,470622.0,460271.0
29,University of Montevallo,Montevallo,NCAA Division II (without football),760,667428.0,47378.0,103.0,913582.0,1401678.0,1401678,14.0,14.0,4876.0,68264.0,1.0,488096.0,488096.0
30,University of North Alabama,Florence,NCAA Division II (with football),2072,1103535.0,47893.0,154.0,809651.0,2900465.0,2900465,14.0,14.0,4882.0,68345.0,1.0,430933.0,430933.0
31,Oakwood University,Huntsville,Other,759,0.0,3000.0,39.0,5481.0,56786.0,56786,15.0,15.0,2912.0,43683.0,,51305.0,51305.0
32,Alabama Southern Community College,Monroeville,NJCAA Division II,318,123885.0,42640.0,40.0,232163.0,396454.0,396454,14.0,14.0,4227.0,59184.0,1.0,164291.0,164291.0
33,Bishop State Community College,Mobile,NJCAA Division I,720,123491.0,60120.0,30.0,224851.0,351330.0,351330,12.0,12.0,2256.0,27066.0,1.0,126479.0,126479.0
34,Samford University,Birmingham,NCAA Division I-AA,1009,4050056.0,116420.0,239.0,1981348.0,9053005.0,9053005,14.0,14.0,14736.0,206307.0,1.0,2014592.0,2014592.0
35,Selma University,Selma,Other,200,30000.0,1200.0,39.0,137150.0,121877.0,121877,15.0,15.0,1422.0,21334.0,,87421.0,42991.0
36,Shelton State Community College,Tuscaloosa,NJCAA Division I,1331,203983.0,51085.0,46.0,438585.0,660934.0,660934,16.0,16.0,3964.0,63422.0,1.0,254725.0,239112.0
37,Snead State Community College,Boaz,NJCAA Division I,558,282398.0,18500.0,51.0,256007.0,399486.0,399486,14.0,14.0,1442.0,20181.0,,143479.0,143479.0
38,University of South Alabama,Mobile,NCAA Division I-A,3896,2874157.0,98060.0,272.0,2112007.0,10570146.0,10570146,16.0,16.0,16475.0,263602.0,1.0,1793669.0,1543872.0
39,Spring Hill College,Mobile,NAIA Division I,444,662658.0,26251.0,117.0,579218.0,1130099.0,1130099,18.0,18.0,2680.0,48231.0,1.0,558602.0,558602.0
40,Stillman College,Tuscaloosa,NCAA Division II (with football),485,718500.0,33350.0,146.0,368302.0,1302071.0,1302071,15.0,15.0,2725.0,40876.0,1.0,224639.0,224639.0
41,Talladega College,Talladega,NAIA Division I,287,409948.0,31250.0,58.0,544622.0,784032.0,784032,12.0,12.0,295.0,3541.0,1.0,239410.0,239410.0
42,Troy University,Troy,NCAA Division I-A,4031,2592337.0,119223.0,275.0,1733158.0,6444983.0,6444983,15.0,15.0,10074.0,151112.0,1.0,1031446.0,963610.0
43,Tuskegee University,Tuskegee,NCAA Division II (with football),1114,1371053.0,38891.0,205.0,334191.0,2751102.0,2751102,24.0,24.0,3333.0,79994.0,1.0,470007.0,470007.0
44,University of Alaska Anchorage,Anchorage,NCAA Division II (without football),3382,1163805.0,83902.0,98.0,3028676.0,4469020.0,4469020,16.0,16.0,11321.0,181143.0,1.0,1440344.0,1440344.0
45,University of Alaska Fairbanks,Fairbanks,NCAA Division II (without football),1823,622143.0,56682.0,70.0,2667429.0,3323632.0,3526359,14.0,14.0,15115.0,211608.0,1.0,703363.0,703363.0
46,Arizona State University,Tempe,NCAA Division I-A,24889,6089904.0,648000.0,377.0,2736680.0,36224906.0,36224906,15.0,15.0,51170.0,767549.0,1.0,7355143.0,5950806.0
47,Arizona Western College,Yuma,NJCAA Division I,1293,778845.0,29663.0,147.0,453201.0,1325314.0,1325314,15.0,15.0,3457.0,51858.0,,208394.0,208394.0
48,University of Arizona,Tucson,NCAA Division I-A,12838,5431035.0,912003.0,265.0,2142862.0,43302691.0,43302691,15.0,15.0,158911.0,2383668.0,1.0,20339831.0,7959652.0
49,Central Arizona College,Coolidge,NJCAA Division I,897,372338.0,8031.0,103.0,504187.0,644365.0,644365,12.0,12.0,2402.0,28823.0,,140178.0,140178.0
50,Cochise College,Douglas,NJCAA Division I,668,193950.0,62240.0,50.0,351658.0,578954.0,578954,13.0,13.0,1616.0,21014.0,1.0,227296.0,227296.0
51,Eastern Arizona College,Thatcher,NJCAA Division I,1036,393910.0,15432.0,130.0,245283.0,984931.0,984931,12.0,12.0,6778.0,81335.0,,177364.0,177364.0
52,Embry-Riddle Aeronautical University-Prescott,Prescott,NAIA Division I,1281,452245.0,47184.0,55.0,792549.0,788654.0,788654,,,,,,,
53,Glendale Community College,Glendale,NJCAA Division II,3287,113417.0,9976.0,265.0,240697.0,563425.0,563425,14.0,14.0,981.0,13737.0,0.0,68532.0,57612.0
54,Grand Canyon University,Phoenix,NCAA Division II (without football),1234,1812290.0,80703.0,304.0,3611611.0,4772001.0,4772001,16.0,16.0,15991.0,255854.0,1.0,1164890.0,1164890.0
55,GateWay Community College,Phoenix,NJCAA Division II,576,40328.0,10253.0,66.0,158190.0,143990.0,143990,,,,,,,
56,Mesa Community College,Mesa,NJCAA Division I,4177,74779.0,24748.0,283.0,244808.0,559016.0,559016,13.0,13.0,1276.0,16592.0,1.0,81424.0,81424.0
57,Dine College,Tsaile,Other,437,15000.0,5000.0,13.0,145223.0,145223.0,145223,,,,,,,
58,Northern Arizona University,Flagstaff,NCAA Division I-AA,7245,2097701.0,99842.0,204.0,775356.0,4715440.0,4715440,16.0,16.0,13962.0,223387.0,1.0,1101464.0,1101464.0
59,Phoenix College,Phoenix,NJCAA Division II,1270,143500.0,39260.0,146.0,233609.0,631373.0,631373,14.0,14.0,3066.0,42924.0,1.0,143715.0,137926.0
60,Pima Community College,Tucson,NJCAA Division I,6431,310466.0,15352.0,282.0,618837.0,799838.0,799838,22.0,22.0,1582.0,34799.0,0.0,90101.0,83570.0
61,Scottsdale Community College,Scottsdale,NJCAA Division I,1843,40575.0,10657.0,206.0,141343.0,284857.0,284857,16.0,16.0,760.0,12158.0,,55621.0,55621.0
62,South Mountain Community College,Phoenix,NJCAA Division II,566,31200.0,24787.0,68.0,203377.0,234488.0,234488,12.0,12.0,1120.0,13434.0,,38044.0,31858.0
