,institution_name,city_txt,classification_name,EFMaleCount,STUDENTAID_MEN,HDCOACH_SALARY_MEN,IL_PARTIC_MEN,IL_REV_MEN,IL_EXP_MEN,IL_EXPENSE_MENALL,PARTIC_MEN_Bskball,SUM_PARTIC_MEN_Bskball,OPEXPPERPART_MEN_Bskball,OPEXPPERTEAM_MEN_Bskball,MEN_FTHEADCOACH_MALE_Bskball,REV_MEN_Bskball,EXP_MEN_Bskball
1104,Rider University,Lawrenceville,NCAA Division I-AAA,1471,1851242.0,74533.0,255.0,3006967.0,3006967.0,3006967,16.0,16.0,10818.0,173091.0,1.0,1568996.0,1568996.0
1105,Rutgers University-Camden,Camden,NCAA Division III (without football),1821,0.0,17186.0,169.0,507545.0,507545.0,507545,11.0,11.0,2965.0,32612.0,1.0,93261.0,93261.0
1106,Rutgers University-New Brunswick,New Brunswick,NCAA Division I-A,15908,5532039.0,319500.0,359.0,5209837.0,5209837.0,5209837,16.0,16.0,74571.0,1193131.0,1.0,5864737.0,4663303.0
1107,Rutgers University-Newark,Newark,NCAA Division III (without football),2929,0.0,41228.0,178.0,716660.0,705790.0,705790,16.0,16.0,2503.0,40044.0,,221499.0,221499.0
1108,Saint Peter's University,Jersey City,NCAA Division I-AAA,869,1822851.0,38119.0,176.0,1639085.0,1639085.0,1639085,15.0,15.0,11174.0,167603.0,1.0,1263774.0,1263774.0
1109,Seton Hall University,South Orange,NCAA Division I-AAA,2233,2387386.0,391375.0,129.0,3092262.0,3092262.0,3092262,16.0,16.0,55594.0,889508.0,1.0,6398748.0,6398748.0
1110,College of Saint Elizabeth,Morristown,NCAA Division III (without football),20,,,0.0,0.0,0.0,0,,0.0,0.0,0.0,,,
1111,Raritan Valley Community College,Branchburg,NJCAA Division III,1908,8500.0,7875.0,53.0,96070.0,96070.0,96070,15.0,15.0,1466.0,21985.0,,80598.0,80598.0
1112,Stevens Institute of Technology,Hoboken,NCAA Division III (without football),1913,0.0,49331.0,357.0,1513228.0,1513228.0,1517500,16.0,16.0,2925.0,46805.0,,164815.0,164815.0
1113,The Richard Stockton College of New Jersey,Galloway,NCAA Division III (without football),2822,0.0,54317.0,201.0,613403.0,557380.0,557380,16.0,16.0,2874.0,45990.0,1.0,193189.0,176530.0
1114,The College of New Jersey,Ewing,NCAA Division III (with football),2700,0.0,65953.0,377.0,988330.0,988330.0,988330,19.0,19.0,1714.0,32561.0,1.0,168691.0,168691.0
1115,Union County College,Cranford,NJCAA Division II,2319,10000.0,8150.0,108.0,265346.0,265346.0,265346,13.0,13.0,1209.0,15722.0,,41907.0,41907.0
1116,William Paterson University of New Jersey,Wayne,NCAA Division III (with football),3757,0.0,46072.0,193.0,433491.0,409053.0,409053,17.0,17.0,1525.0,25932.0,,176926.0,172227.0
1117,Navajo Technical University,Crownpoint,Other,583,36798.0,5015.0,28.0,130363.0,130363.0,130363,,,,,,,
1118,Eastern New Mexico University-Main Campus,Portales,NCAA Division II (with football),1202,1172438.0,49450.0,326.0,695605.0,834546.0,834546,24.0,24.0,3021.0,72505.0,,304490.0,367713.0
